student_id,student_name,program_id,branch,year,section_id
STU0001,Student_0001,P01,CSE,1,S_CSE_1_A
STU0002,Student_0002,P01,CSE,1,S_CSE_1_A
STU0003,Student_0003,P01,CSE,1,S_CSE_1_A
STU0004,Student_0004,P01,CSE,1,S_CSE_1_A
STU0005,Student_0005,P01,CSE,1,S_CSE_1_A
STU0006,Student_0006,P01,CSE,1,S_CSE_1_A
STU0007,Student_0007,P01,CSE,1,S_CSE_1_A
STU0008,Student_0008,P01,CSE,1,S_CSE_1_A
STU0009,Student_0009,P01,CSE,1,S_CSE_1_A
STU0010,Student_0010,P01,CSE,1,S_CSE_1_A
STU0011,Student_0011,P01,CSE,1,S_CSE_1_A
STU0012,Student_0012,P01,CSE,1,S_CSE_1_A
STU0013,Student_0013,P01,CSE,1,S_CSE_1_A
STU0014,Student_0014,P01,CSE,1,S_CSE_1_A
STU0015,Student_0015,P01,CSE,1,S_CSE_1_A
STU0016,Student_0016,P01,CSE,1,S_CSE_1_A
STU0017,Student_0017,P01,CSE,1,S_CSE_1_A
STU0018,Student_0018,P01,CSE,1,S_CSE_1_A
STU0019,Student_0019,P01,CSE,1,S_CSE_1_A
STU0020,Student_0020,P01,CSE,1,S_CSE_1_A
STU0021,Student_0021,P01,CSE,1,S_CSE_1_A
STU0022,Student_0022,P01,CSE,1,S_CSE_1_A
STU0023,Student_0023,P01,CSE,1,S_CSE_1_A
STU0024,Student_0024,P01,CSE,1,S_CSE_1_A
STU0025,Student_0025,P01,CSE,1,S_CSE_1_A
STU0026,Student_0026,P01,CSE,1,S_CSE_1_A
STU0027,Student_0027,P01,CSE,1,S_CSE_1_A
STU0028,Student_0028,P01,CSE,1,S_CSE_1_A
STU0029,Student_0029,P01,CSE,1,S_CSE_1_A
STU0030,Student_0030,P01,CSE,1,S_CSE_1_A
STU0031,Student_0031,P01,CSE,1,S_CSE_1_A
STU0032,Student_0032,P01,CSE,1,S_CSE_1_A
STU0033,Student_0033,P01,CSE,1,S_CSE_1_A
STU0034,Student_0034,P01,CSE,1,S_CSE_1_A
STU0035,Student_0035,P01,CSE,1,S_CSE_1_A
STU0036,Student_0036,P01,CSE,1,S_CSE_1_A
STU0037,Student_0037,P01,CSE,1,S_CSE_1_A
STU0038,Student_0038,P01,CSE,1,S_CSE_1_A
STU0039,Student_0039,P01,CSE,1,S_CSE_1_A
STU0040,Student_0040,P01,CSE,1,S_CSE_1_A
STU0041,Student_0041,P01,CSE,1,S_CSE_1_A
STU0042,Student_0042,P01,CSE,1,S_CSE_1_A
STU0043,Student_0043,P01,CSE,1,S_CSE_1_A
STU0044,Student_0044,P01,CSE,1,S_CSE_1_A
STU0045,Student_0045,P01,CSE,1,S_CSE_1_A
STU0046,Student_0046,P01,CSE,1,S_CSE_1_A
